English,Ukraine
risk,ризик
current,поточний
fire,вогонь
future,майбутнє
wrong,неправильний
involve,включати
defense,захист
anyone,хто-небудь
increase,збільшувати
security,безпека
bank,банк
myself,сам
certainly,безперечно
west,захід
sport,спорт
board,борт
seek,шукати
per,за
subject,предмет
officer,офіцер
private,приватний
rest,відпочинок
behavior,поведінка
deal,угода
performance,виконання
fight,битися
throw,через
top,верх
quickly,швидко
past,минуле
goal,мета
second,другий
bed,ліжко
order,наказ
author,автор
fill,заповнювати
represent,представляти
focus,фокус
foreign,іноземний
drop,падати
plan,план
blood,кров
upon,на/по
agency,агентство
push,штовхати
color,колір
no,нікого
recently,нещодавно
store,магазин
reduce,знижувати
sound,звук
note,позначка
fine,відмінно
before,перш ніж
near,близько
movement,рух
page,сторінка
enter,входити
share,ділитися
than,як
common,загальний
poor,бідний
other,інший
natural,природний
race,гонка
concern,занепокоєння
series,серія
significant,значний
similar,схожий
hot,гарячий
language,мова
each,кожен
usually,зазвичай
response,відповідь
dead,мертвий
rise,зростати
animal,тварина
factor,фактор
decade,десятиліття
article,стаття
shoot,стріляти
east,схід
save,зберігати
seven,сім
artist,художник
away,геть
scene,сцена
stock,запас
career,кар'єра
despite,незважаючи на
central,центральний
eight,вісім
thus,таким чином
treatment,лікування
beyond,"за, поза"
happy,щасливий
exactly,точно
protect,захищати
approach,наближення
lie,брехати
size,розмір
dog,собака
fund,фонд
serious,серйозний
occur,відбуватися
media,медіа
ready,готовий
sign,знак/підпис
thought,намір
list,перелік
individual,індивідуальний
simple,простий
quality,якість
pressure,тиск
accept,приймати
answer,відповідь
hard,складний
resource,ресурс
identify,ідентифікувати
left,залишати
meeting,зустріч
determine,визначати
prepare,готувати
desease,хвороба
whatever,що-небудь
success,успіх
argue,суперечка
cup,чашка
particularly,особливо
amount,сума
ability,можливість
staff,персонал
recognize,дізнаватися
indicate,вказувати на
character,персонаж
growth,зріст
loss,збиток
degree,ступінь
wonder,дивуватися
attack,атака
herself,сама
region,регіон
television,телебачення
box,коробка
TV,ТБ
training,тренування
pretty,гарний
trade,торговий
deal,справа
election,вибори
everybody,кожен
physical,фізичний
lay,лежати
general,загальний
feeling,почуття
standard,стандарт
bill,рахунок
message,повідомлення
fail,невдача
outside,зовні
arrive,прибувати
analysis,аналіз
benefit,вигода
name,ім'я
sex,секс
forward,безпосередньо
lawyer,юрист
present,дарувати
section,розділ
environmental,екологічний
glass,склянка
answer,відповідь
skill,навик
sister,сестра
PM,пообіді
professor,професор
operation,операція
financial,фінансовий
crime,злочин
stage,етап
ok,ок
compare,порівнювати
authority,авторитет
miss,нудьгувати
design,дизайн
sort,вид
one,єдиний
act,діяти
ten,десять
knowledge,знання
gun,пістолет
station,станція
blue,блакитний
state,держава
strategy,стратегія
little,мало
clearly,ясно
discuss,обговорювати
indeed,дійсно
force,примушувати
truth,правда
song,пісня
example,приклад
democratic,демократичний
check,перевіряти
environment,довкілля
leg,нога
dark,темний
public,громадськість
various,різний
laugh,сміятися
guess,здогадуватися
executive,посадова особа
set,набір
study,вчення
prove,доводити
hang,вішати
entire,цілий
rock,рок
design,дизайн
enough,досить
forget,забувати
since,відтоді
claim,вимагати
note,нота
remove,видаляти
manager,менеджер
help,допомога
close,близький
sound,звучати
enjoy,насолоджуватися
network,мережа
legal,законний
religious,релігійний
cold,холодний
form,формувати
final,фінал
main,головний
science,наука
green,зелений
memory,пам'ять
card,карта
above,понад
seat,сидіння
cell,клітинка
establish,встановити
nice,відмінно
trail,слід
expert,експерт
spring,весна
firm,фірма
Democrat,демократ
radio,радіо
visit,відвідувати
manage,керувати
care,піклуватися
avoid,уникати
imagine,уявляти
tonight,цієї ночі
huge,величезний
ball,м'яч
close,закривати
finish,закінчувати
yourself,тебе самого
talk,балаканина
theory,теорія
impact,вплив
respond,реагувати
statement,твердження
maintain,підтримувати
charge,заряджати
popular,популярний
traditional,традиційний
onto,на
reveal,розкривати
weapon,спорядження
employee,працівник
cultural,культурний
contain,складатися з
peace,мир
head,глава
control,контроль
base,база
pain,біль
apply,подавати заяву
play,гра
measure,міра
wide,мережа
shake,збивати
fly,літати
interview,інтерв'ю
manage,справлятися
chair,стілець
fish,риба
particular,певний
camera,камера
structure,структура
politics,політика
perform,виконувати
bit,шматочок
weight,вага
suddenly,раптово
discover,досліджувати
candidate,кандидат
top,топ
production,виробництво
treat,лікувати
trip,подорож
evening,вечір
affect,впливати
inside,всередині
conference,конференція
unit,частина
best,кращий
style,стиль
adult,дорослий
worry,хвилюватися
range,спектр
mention,згадка
rather,швидше
far,далекий
deed,справа
past,минуле
edge,край
individual,індивідуальний
specific,конкретний
writer,письменник
trouble,проблема
necessary,важливо
thoughout,впродовж
challenge,випробування
fear,страх
shoulder,плече
institution,установа
middle,середній
sea,море
dream,мрія/сон
magazine,журнал
bar,бар
beautiful,гарно
property,майно
instead,замість
improve,поліпшувати
stuff,персонал
detail,деталь
method,метод
